Image_Name,Run_Duration,Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,nχ,λ,Numeric_Derivative_ε,initial_τs,final_τs,rtol,maxevals,Contour_ε
2023-01-24T07_30_15.867,2,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.001,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,1000000,0.001
2023-01-24T07_53_42.064,2,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.001,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,1000000,0.001
2023-01-24T07_57_51.821,3,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.001,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,1000000,0.001
2023-01-24T08_20_09.079,11,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.001
2023-01-28T18_21_02.645,17,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.0001
2023-01-28T18_27_25.789,3,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.1
2023-01-28T18_43_20.155,13,rindler,false,gauss,1.0,0.0,0.0,20,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,1.0e-6
Complex_conjugate_wightman_2023-02-15T17_25_08.968,4,flat,false,gauss,1.0,0.0,0.0,10,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.001
accelerated_detector_big_epsilon_test_2023-02-19T14_16_07.261,1,flat,false,gauss,1.0,0.0,0.0,10,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.05
new_paper_accelerated_detector_test_2023-02-22T14_45_09.936,7,flat,false,gauss,1.0,0.0,0.0,20,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-22T14_45_09.968,7,flat,false,gauss,1.0,0.0,0.0,20,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-22T14_45_10.011,7,flat,false,gauss,1.0,0.0,0.0,20,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-22T16_28_43.668,15,flat,false,gauss,1.0,0.0,0.0,25,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,7500000,0.0005
new_paper_accelerated_detector_test_2023-02-22T16_28_43.703,15,flat,false,gauss,1.0,0.0,0.0,25,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,7500000,0.0005
new_paper_accelerated_detector_test_2023-02-22T16_28_43.737,15,flat,false,gauss,1.0,0.0,0.0,25,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,7500000,0.0005
new_paper_accelerated_detector_test_2023-02-22T21_53_01.451,7,flat,false,gauss,1.0,0.0,0.0,15,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-22T21_53_01.483,7,flat,false,gauss,1.0,0.0,0.0,15,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-22T21_53_01.521,7,flat,false,gauss,1.0,0.0,0.0,15,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-23T00_50_08.966,14,flat,false,gauss,1.0,0.0,0.0,30,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-23T00_50_09.005,14,flat,false,gauss,1.0,0.0,0.0,30,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
new_paper_accelerated_detector_test_2023-02-23T00_50_09.060,14,flat,false,gauss,1.0,0.0,0.0,30,0.1,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.001,5000000,0.001
testing_my_epsilon_method_2023-02-06T15_23_44.823,35,flat_with_epsilon,false,gauss,1.0,0.0,0.0,20,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.0
testing_my_epsilon_method_2023-02-06T15_33_27.619,8,flat_with_epsilon,false,gauss,1.0,0.0,0.0,10,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.0
testing_my_epsilon_method_2023-02-15T13_56_26.801,8,flat_with_epsilon,false,gauss,1.0,0.0,0.0,10,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,0.0
testing_my_epsilon_method_2023-02-15T13_58_29.742,7,flat,false,gauss,1.0,0.0,0.0,10,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,1.0e-5
testing_my_epsilon_method_2023-02-15T14_08_03.192,7,flat_with_epsilon,false,gauss,1.0,0.0,0.0,10,0.01,0.0005,"[-5.0, -5.0]","[5.0, 5.0]",0.0001,5000000,1.0e-5
