Image_Name,Run_Duration,Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,b,nΩ,nχ,χ0A,Ω0,Ωf,χ0B0,χ0Bf,λ,Numeric_Derivative_ε,rtol,maxevals,Contour_ε
quench_above_lightcone_2023-05-01T16_46_43.267,51,quench,true,cos4,1.0,7.0,7.0,1.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
quench_above_lightcone_b=0.5_2023-05-03T23_15_41.510,36,quench,true,cos4,1.0,0.6,0.6,0.5,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
quench_at_lightcone_2023-05-01T15_39_54.699,53,quench,true,cos4,1.0,3.9,3.9,1.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
quench_below_lightcone_2023-05-01T12_34_54.935,38,quench,true,cos4,1.0,0.6,0.6,1.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
quench_below_lightcone_b=0.1_2023-05-01T11_50_31.546,52,quench,true,cos4,1.0,0.6,0.6,0.1,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
rindler_above_lightcone_2023-05-01T16_47_02.350,51,rindler,true,cos4,1.0,7.0,7.0,0.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
rindler_above_lightcone_2023-05-03T11_37_26.244,129,rindler,true,cos4,1.0,0.6,0.6,0.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
rindler_at_lightcone_2023-05-01T15_40_12.428,53,rindler,true,cos4,1.0,3.9,3.9,0.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
rindler_below_lightcone_2023-05-01T12_33_26.597,38,rindler,true,cos4,1.0,0.6,0.6,0.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
rindler_below_lightcone_b=0.1_2023-05-01T11_51_07.860,51,rindler,true,cos4,1.0,0.6,0.6,0.0,20,20,2.0,10.0,20.0,3.05,3.5,0.01,0.001,0.01,500000,0.005
