Image_Name,Run_Duration,Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,b,nΩ,nχ,χ0A,Ω0,Ωf,χ0B0,χ0Bf,λ,Numeric_Derivative_ε,rtol,maxevals,Contour_ε
quench_2023-04-24T15_24_14.043,12,quench,true,cos4,1.0,0.65,0.65,1.0,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
quench_above_lightcone_2023-04-22T16_47_21.282,6,quench,true,cos4,1.0,3.45,3.45,1.0,10,12,2.0,-1.0,20.0,3.02,3.5,0.01,0.001,0.01,500000,0.005
quench_at_lightcone_2023-04-22T16_39_59.333,6,quench,true,cos4,1.0,1.45,1.45,1.0,10,12,2.0,-1.0,20.0,3.02,3.5,0.01,0.001,0.01,500000,0.005
quench_b=0.1_2023-04-27T10_05_42.566,11,quench,true,cos4,1.0,0.65,0.65,0.1,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
quench_really_above_lightcone_2023-04-28T18_25_37.757,101,quench,true,cos4,1.0,6.0,6.0,0.1,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
quench_really_above_lightcone_2023-04-28T18_35_08.445,9,quench,true,cos4,1.0,6.0,6.0,0.1,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
quench_really_above_lightcone_2023-04-28T18_44_46.068,10,quench,true,cos4,1.0,6.0,6.0,0.1,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
quench_spacelike_2023-04-21T12_49_07.232,10,quench,true,cos4,1.0,0.6,0.6,1.0,10,12,2.0,-1.0,20.0,3.0,3.5,0.01,0.001,0.01,500000,0.005
rindler_'above_lightcone'_2023-04-23T12_13_33.252,8,rindler,true,cos4,1.0,3.45,3.45,0.0,10,12,2.0,-1.0,20.0,3.02,3.5,0.01,0.001,0.01,500000,0.005
rindler_'at_lightcone'_2023-04-23T13_45_39.307,15,rindler,true,cos4,1.0,1.45,1.45,0.0,10,12,2.0,-1.0,20.0,3.02,3.5,0.01,0.001,0.01,500000,0.005
rindler_2023-04-24T15_25_53.980,13,rindler,true,cos4,1.0,0.65,0.65,0.0,10,12,1.0,-1.0,20.0,1.5,2.5,0.01,0.001,0.01,500000,0.005
rindler_not_spacelike_2023-04-21T12_50_11.014,10,rindler,true,cos4,1.0,0.6,0.6,0.0,10,12,2.0,-1.0,20.0,3.0,3.5,0.01,0.001,0.01,500000,0.005
