Space_Time,Derivative_Coupling,Switching_Func,σ,SF_Center_A,SF_Center_B,b,nΩ,nχ,χ0A,y0A,Ω0,Ωf,χ0B0,χ0Bf,y0B0,y0Bf,λ,Numeric_Derivative_ε,rtol,maxevals,Contour_ε
quench,true,cos4,1.0,8.378850189044405,8.378850189044405,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,2.0947125472611012,2.0947125472611012,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,0.6,0.6,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
rindler,true,cos4,1.0,0.0,0.0,0.0,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,8.378850189044405,8.378850189044405,0.5,20,20,2.0,2.0947125472611012,-1.0,5.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,4.1894250945222025,4.1894250945222025,0.5,20,20,2.0,2.0947125472611012,-1.0,5.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,2.0947125472611012,2.0947125472611012,0.5,20,20,2.0,2.0947125472611012,-1.0,5.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,1.0473562736305506,1.0473562736305506,0.5,20,20,2.0,2.0947125472611012,-1.0,5.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,0.6,0.6,0.5,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
quench,true,cos4,1.0,0.6,0.6,0.1,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
rindler,true,cos4,1.0,3.9,3.9,0.0,20,20,2.0,2.0947125472611012,10.0,20.0,3.05,3.5,2.5080878593376825,2.644120761058629,0.01,0.001,0.01,500000,0.005
